,0,1,2,3,4
0,1º,4727,07,Carneiro,"DEU NO POSTE - RJ, 11:00, PTM  1º ao 10º  "
1,2º,2769,18,Porco,"DEU NO POSTE - RJ, 11:00, PTM  1º ao 10º  "
2,3º,1573,19,Pavão,"DEU NO POSTE - RJ, 11:00, PTM  1º ao 10º  "
3,4º,8604,01,Avestruz,"DEU NO POSTE - RJ, 11:00, PTM  1º ao 10º  "
4,5º,2535,09,Cobra,"DEU NO POSTE - RJ, 11:00, PTM  1º ao 10º  "
5,6º,4218,05,Cachorro,"DEU NO POSTE - RJ, 11:00, PTM  1º ao 10º  "
6,7º,7756,14,Gato,"DEU NO POSTE - RJ, 11:00, PTM  1º ao 10º  "
7,8º,2670,18,Porco,"DEU NO POSTE - RJ, 11:00, PTM  1º ao 10º  "
8,9º,7934,09,Cobra,"DEU NO POSTE - RJ, 11:00, PTM  1º ao 10º  "
9,10º,2786,22,Tigre,"DEU NO POSTE - RJ, 11:00, PTM  1º ao 10º  "
10,"DEU NO POSTE - RJ, 11:00, PTM  1º ao 10º  ",,,,
