,0,1,2,3,4
0,1º,9593,24,Veado,"DEU NO POSTE - RJ, 14:20, PT  1º ao 10º  "
1,2º,0564,16,Leão,"DEU NO POSTE - RJ, 14:20, PT  1º ao 10º  "
2,3º,3638,10,Coelho,"DEU NO POSTE - RJ, 14:20, PT  1º ao 10º  "
3,4º,1271,18,Porco,"DEU NO POSTE - RJ, 14:20, PT  1º ao 10º  "
4,5º,0974,19,Pavão,"DEU NO POSTE - RJ, 14:20, PT  1º ao 10º  "
5,6º,9031,08,Camelo,"DEU NO POSTE - RJ, 14:20, PT  1º ao 10º  "
6,7º,5562,16,Leão,"DEU NO POSTE - RJ, 14:20, PT  1º ao 10º  "
7,8º,9637,10,Coelho,"DEU NO POSTE - RJ, 14:20, PT  1º ao 10º  "
8,9º,3481,21,Touro,"DEU NO POSTE - RJ, 14:20, PT  1º ao 10º  "
9,10º,3751,13,Galo,"DEU NO POSTE - RJ, 14:20, PT  1º ao 10º  "
10,"DEU NO POSTE - RJ, 14:20, PT  1º ao 10º  ",,,,
