,0,1,2,3,4
0,1º,7967,17,Macaco,"DEU NO POSTE - RJ, 16:00, PTV  1º ao 10º  "
1,2º,6411,03,Burro,"DEU NO POSTE - RJ, 16:00, PTV  1º ao 10º  "
2,3º,2381,21,Touro,"DEU NO POSTE - RJ, 16:00, PTV  1º ao 10º  "
3,4º,8375,19,Pavão,"DEU NO POSTE - RJ, 16:00, PTV  1º ao 10º  "
4,5º,6608,02,Águia,"DEU NO POSTE - RJ, 16:00, PTV  1º ao 10º  "
5,6º,7628,07,Carneiro,"DEU NO POSTE - RJ, 16:00, PTV  1º ao 10º  "
6,7º,9433,09,Cobra,"DEU NO POSTE - RJ, 16:00, PTV  1º ao 10º  "
7,8º,6187,22,Tigre,"DEU NO POSTE - RJ, 16:00, PTV  1º ao 10º  "
8,9º,7115,04,Borboleta,"DEU NO POSTE - RJ, 16:00, PTV  1º ao 10º  "
9,10º,2105,02,Águia,"DEU NO POSTE - RJ, 16:00, PTV  1º ao 10º  "
10,"DEU NO POSTE - RJ, 16:00, PTV  1º ao 10º  ",,,,
