,0,1,2,3,4
0,1º,6431,08,Camelo,"LOOK - GOIÁS, 14h  1º ao 10º  "
1,2º,7240,10,Coelho,"LOOK - GOIÁS, 14h  1º ao 10º  "
2,3º,7734,09,Cobra,"LOOK - GOIÁS, 14h  1º ao 10º  "
3,4º,2533,09,Cobra,"LOOK - GOIÁS, 14h  1º ao 10º  "
4,5º,6116,04,Borboleta,"LOOK - GOIÁS, 14h  1º ao 10º  "
5,6º,6772,18,Porco,"LOOK - GOIÁS, 14h  1º ao 10º  "
6,7º,4275,19,Pavão,"LOOK - GOIÁS, 14h  1º ao 10º  "
7,8º,3433,09,Cobra,"LOOK - GOIÁS, 14h  1º ao 10º  "
8,9º,1043,11,Cavalo,"LOOK - GOIÁS, 14h  1º ao 10º  "
9,10º,5577,20,Peru,"LOOK - GOIÁS, 14h  1º ao 10º  "
10,"LOOK - GOIÁS, 14h  1º ao 10º  ",,,,
